season,driver,team,races,total_points,avg_grid_position,avg_finish_position,podiums,wins,points_finishes,estimated_overtakes,points_per_race,podium_rate,points_finish_rate,overtakes_per_race,qualifying_score,points_norm,qualifying_norm,podium_norm,overtake_norm,performance_score,season_percentile,driver_class
2022,NOR,McLaren,5,31.0,8.2,9.8,1,0,3,6.0,6.2,0.2,0.6,1.2,11.600000000000001,0.31958762886597936,0.6091954022988506,0.25,0.20689655172413793,0.35232255006517355,0.7142857142857143,Strong
2022,OCO,Alpine F1 Team,5,24.0,12.0,8.4,0,0,4,19.0,4.8,0.0,0.8,3.8,7.800000000000001,0.24742268041237114,0.3908045977011494,0.0,0.6551724137931034,0.2673895011257258,0.6190476190476191,Strong
2022,PER,Red Bull,5,60.0,3.0,6.0,2,0,4,2.0,12.0,0.4,0.8,0.4,16.8,0.6185567010309279,0.9080459770114941,0.5,0.06896551724137931,0.5977840976419007,0.9047619047619048,Elite
2022,RIC,McLaren,5,8.0,11.8,13.6,0,0,1,6.0,1.6,0.0,0.2,1.2,8.0,0.08247422680412371,0.4022988505747126,0.0,0.20689655172413793,0.1423865386894182,0.42857142857142855,Average
2022,RUS,Mercedes,5,59.0,8.8,4.2,1,0,5,23.0,11.8,0.2,1.0,4.6,11.0,0.6082474226804123,0.5747126436781609,0.25,0.7931034482758621,0.5483765849034246,0.8095238095238095,Strong
2022,SAI,Ferrari,5,48.0,4.2,9.6,3,0,3,1.0,9.6,0.6,0.6,0.2,15.600000000000001,0.4948453608247423,0.8390804597701149,0.75,0.034482758620689655,0.5686870482284632,0.8571428571428571,Elite
2022,STR,Aston Martin,5,2.0,13.2,11.4,0,0,2,19.0,0.4,0.0,0.4,3.8,6.600000000000001,0.020618556701030927,0.32183908045977017,0.0,0.6551724137931034,0.14019433582177987,0.38095238095238093,Average
2022,TSU,AlphaTauri,5,10.0,13.8,12.2,0,0,2,13.0,2.0,0.0,0.4,2.6,6.0,0.10309278350515463,0.28735632183908044,0.0,0.4482758620689655,0.15384524232728997,0.5238095238095238,Average
2022,VER,Red Bull,5,77.0,2.4,8.0,3,3,3,5.0,15.4,0.6,0.6,1.0,17.400000000000002,0.7938144329896907,0.9425287356321839,0.75,0.1724137931034483,0.752654342931627,0.9523809523809523,Elite
2022,VET,Aston Martin,3,4.0,10.0,14.666666666666666,0,0,1,5.0,1.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,9.8,0.041237113402061855,0.5057471264367815,0.0,0.1724137931034483,0.13900936129873206,0.3333333333333333,Average
2022,ZHO,Alfa Romeo,5,1.0,11.6,13.4,0,0,1,9.0,0.2,0.0,0.2,1.8,8.200000000000001,0.010309278350515464,0.41379310344827586,0.0,0.3103448275862069,0.1189477426235336,0.19047619047619047,Weak
2023,ALB,Williams,5,1.0,12.6,14.8,0,0,1,5.0,0.2,0.0,0.2,1.0,6.000000000000002,0.008849557522123894,0.36231884057971026,0.0,0.23809523809523808,0.10069807068652781,0.2,Weak
2023,ALO,Aston Martin,5,72.0,3.8,3.2,4,0,5,5.0,14.4,0.8,1.0,1.0,14.8,0.6371681415929203,1.0,0.8,0.23809523809523808,0.702393594605984,0.9,Elite
