season,round,race_name,race_date,circuit,driver,team,grid_position,finish_position,winner
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,ALB,Williams,17,19,0
2023,2,Saudi Arabian Grand Prix,2023-03-19,Jeddah Corniche Circuit,STR,Aston Martin,5,20,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,VER,Red Bull,1,1,1
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,HAM,Mercedes,3,2,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,ALO,Aston Martin,4,3,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,STR,Aston Martin,6,4,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,PER,Red Bull,20,5,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,NOR,McLaren,13,6,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,HUL,Haas F1 Team,10,7,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,PIA,McLaren,16,8,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,ZHO,Alfa Romeo,17,9,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,TSU,AlphaTauri,12,10,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,BOT,Alfa Romeo,19,11,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,SAI,Ferrari,5,12,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,GAS,Alpine F1 Team,9,13,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,OCO,Alpine F1 Team,11,14,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,DEV,AlphaTauri,15,15,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,SAR,Williams,18,16,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,MAG,Haas F1 Team,14,17,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,RUS,Mercedes,2,18,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,ALB,Williams,8,19,0
2023,3,Australian Grand Prix,2023-04-02,Albert Park Grand Prix Circuit,LEC,Ferrari,7,20,0
