season,round,race_date,race_name,circuit,driver,team,grid_position,finish_position,points
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,GRO,Haas F1 Team,10,18,0.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,GAS,Toro Rosso,12,19,0.0
2018,5,2018-05-13,Spanish Grand Prix,Circuit de Barcelona-Catalunya,HUL,Renault,16,20,0.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,BOT,Mercedes,2,1,26.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,HAM,Mercedes,1,2,18.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,VER,Red Bull,4,3,15.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,VET,Ferrari,3,4,12.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,LEC,Ferrari,5,5,10.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,MAG,Haas F1 Team,7,6,8.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,HUL,Renault,11,7,6.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,RAI,Alfa Romeo,9,8,4.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,STR,Racing Point,16,9,2.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,KVY,Toro Rosso,15,10,1.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,GAS,Red Bull,17,11,0.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,NOR,McLaren,8,12,0.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,PER,Racing Point,10,13,0.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,ALB,Toro Rosso,13,14,0.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,GIO,Alfa Romeo,14,15,0.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,RUS,Williams,19,16,0.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,KUB,Williams,20,17,0.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,GRO,Haas F1 Team,6,18,0.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,RIC,Renault,12,19,0.0
2019,1,2019-03-17,Australian Grand Prix,Albert Park Grand Prix Circuit,SAI,McLaren,18,20,0.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,HAM,Mercedes,3,1,25.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,BOT,Mercedes,4,2,18.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,LEC,Ferrari,1,3,16.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,VER,Red Bull,5,4,12.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,VET,Ferrari,2,5,10.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,NOR,McLaren,9,6,8.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,RAI,Alfa Romeo,8,7,6.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,GAS,Red Bull,13,8,4.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,ALB,Toro Rosso,12,9,2.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,PER,Racing Point,14,10,1.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,GIO,Alfa Romeo,16,11,0.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,KVY,Toro Rosso,15,12,0.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,MAG,Haas F1 Team,6,13,0.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,STR,Racing Point,18,14,0.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,RUS,Williams,19,15,0.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,KUB,Williams,20,16,0.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,HUL,Renault,17,17,0.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,RIC,Renault,10,18,0.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,SAI,McLaren,7,19,0.0
2019,2,2019-03-31,Bahrain Grand Prix,Bahrain International Circuit,GRO,Haas F1 Team,11,20,0.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,HAM,Mercedes,2,1,25.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,BOT,Mercedes,1,2,18.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,VET,Ferrari,3,3,15.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,VER,Red Bull,5,4,12.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,LEC,Ferrari,4,5,10.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,GAS,Red Bull,6,6,9.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,RIC,Renault,7,7,6.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,PER,Racing Point,12,8,4.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,RAI,Alfa Romeo,13,9,2.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,ALB,Toro Rosso,0,10,1.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,GRO,Haas F1 Team,10,11,0.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,STR,Racing Point,16,12,0.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,MAG,Haas F1 Team,9,13,0.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,SAI,McLaren,14,14,0.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,GIO,Alfa Romeo,19,15,0.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,RUS,Williams,17,16,0.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,KUB,Williams,18,17,0.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,NOR,McLaren,15,18,0.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,KVY,Toro Rosso,11,19,0.0
2019,3,2019-04-14,Chinese Grand Prix,Shanghai International Circuit,HUL,Renault,8,20,0.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,BOT,Mercedes,1,1,25.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,HAM,Mercedes,2,2,18.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,VET,Ferrari,3,3,15.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,VER,Red Bull,4,4,12.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,LEC,Ferrari,8,5,11.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,PER,Racing Point,5,6,8.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,SAI,McLaren,9,7,6.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,NOR,McLaren,7,8,4.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,STR,Racing Point,13,9,2.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,RAI,Alfa Romeo,0,10,1.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,ALB,Toro Rosso,11,11,0.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,GIO,Alfa Romeo,17,12,0.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,MAG,Haas F1 Team,12,13,0.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,HUL,Renault,15,14,0.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,RUS,Williams,16,15,0.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,KUB,Williams,0,16,0.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,GAS,Red Bull,0,17,0.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,GRO,Haas F1 Team,14,18,0.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,KVY,Toro Rosso,6,19,0.0
2019,4,2019-04-28,Azerbaijan Grand Prix,Baku City Circuit,RIC,Renault,10,20,0.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,HAM,Mercedes,2,1,26.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,BOT,Mercedes,1,2,18.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,VER,Red Bull,4,3,15.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,VET,Ferrari,3,4,12.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,LEC,Ferrari,5,5,10.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,GAS,Red Bull,6,6,8.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,MAG,Haas F1 Team,8,7,6.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,SAI,McLaren,12,8,4.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,KVY,Toro Rosso,9,9,2.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,GRO,Haas F1 Team,7,10,1.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,ALB,Toro Rosso,11,11,0.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,RIC,Renault,13,12,0.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,HUL,Renault,0,13,0.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,RAI,Alfa Romeo,14,14,0.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,PER,Racing Point,15,15,0.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,GIO,Alfa Romeo,18,16,0.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,RUS,Williams,19,17,0.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,KUB,Williams,17,18,0.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,STR,Racing Point,16,19,0.0
2019,5,2019-05-12,Spanish Grand Prix,Circuit de Barcelona-Catalunya,NOR,McLaren,10,20,0.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,BOT,Mercedes,1,1,25.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,LEC,Ferrari,7,2,18.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,NOR,McLaren,3,3,16.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,HAM,Mercedes,5,4,12.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,SAI,McLaren,8,5,10.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,PER,Racing Point,6,6,8.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,GAS,AlphaTauri,12,7,6.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,OCO,Renault,14,8,4.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,GIO,Alfa Romeo,18,9,2.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,VET,Ferrari,11,10,1.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,LAT,Williams,20,11,0.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,KVY,AlphaTauri,13,12,0.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,ALB,Red Bull,4,13,0.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,RAI,Alfa Romeo,19,14,0.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,RUS,Williams,17,15,0.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,GRO,Haas F1 Team,15,16,0.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,MAG,Haas F1 Team,16,17,0.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,STR,Racing Point,9,18,0.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,RIC,Renault,10,19,0.0
2020,1,2020-07-05,Austrian Grand Prix,Red Bull Ring,VER,Red Bull,2,20,0.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,HAM,Mercedes,1,1,25.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,BOT,Mercedes,4,2,18.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,VER,Red Bull,2,3,15.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,ALB,Red Bull,6,4,12.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,NOR,McLaren,9,5,10.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,PER,Racing Point,17,6,8.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,STR,Racing Point,12,7,6.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,RIC,Renault,8,8,4.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,SAI,McLaren,3,9,3.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,KVY,AlphaTauri,13,10,1.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,RAI,Alfa Romeo,16,11,0.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,MAG,Haas F1 Team,15,12,0.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,GRO,Haas F1 Team,0,13,0.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,GIO,Alfa Romeo,19,14,0.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,GAS,AlphaTauri,7,15,0.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,RUS,Williams,11,16,0.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,LAT,Williams,18,17,0.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,OCO,Renault,5,18,0.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,LEC,Ferrari,14,19,0.0
2020,2,2020-07-12,Styrian Grand Prix,Red Bull Ring,VET,Ferrari,10,20,0.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,HAM,Mercedes,1,1,26.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,VER,Red Bull,7,2,18.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,BOT,Mercedes,2,3,15.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,STR,Racing Point,3,4,12.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,ALB,Red Bull,13,5,10.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,VET,Ferrari,5,6,8.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,PER,Racing Point,4,7,6.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,RIC,Renault,11,8,4.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,SAI,McLaren,9,9,2.0
